fixture_id,season_id,competition_id,actual_result,actual_score,v4_p_h,v4_p_d,v4_p_a,e10_p_h,e10_p_d,e10_p_a,abs_elo_diff,lambda_home,lambda_away
25302419,2858,419,H,2-0,0.2657,0.2565,0.4778,0.2474,0.3002,0.4524,38.2,1.066,1.522
25356523,2747,423,D,1-1,0.393,0.2712,0.3358,0.3668,0.3213,0.312,20.4,1.296,1.177
25356925,2894,499,D,2-2,0.4903,0.2544,0.2553,0.4806,0.2737,0.2456,188.7,1.549,1.043
25356979,2745,477,H,3-0,0.8675,0.0867,0.0457,0.8645,0.0928,0.0427,426.0,3.491,0.772
25356980,2745,477,H,2-1,0.5385,0.2296,0.2319,0.5299,0.2469,0.2233,267.9,1.821,1.116
25356981,2745,477,H,3-1,0.555,0.2251,0.2199,0.5466,0.242,0.2114,161.4,1.871,1.095
25356982,2745,477,A,1-3,0.3318,0.2388,0.4294,0.3145,0.276,0.4095,41.6,1.417,1.641
25356983,2745,477,A,0-2,0.21,0.207,0.583,0.2018,0.2247,0.5735,114.3,1.194,2.107
25357011,2747,423,D,1-1,0.6874,0.1793,0.1333,0.6807,0.1927,0.1266,264.9,2.322,0.92
25357014,2747,423,D,1-1,0.2446,0.2426,0.5128,0.226,0.2905,0.4835,4.3,1.078,1.673
25357016,2747,423,H,2-0,0.432,0.2656,0.3024,0.4162,0.2955,0.2883,84.1,1.398,1.124
25357021,2747,423,H,4-1,0.3024,0.2432,0.4544,0.2832,0.2869,0.4299,22.4,1.285,1.627
25357030,2747,423,A,1-2,0.3946,0.271,0.3344,0.3682,0.3213,0.3105,19.5,1.3,1.174
25357403,2858,419,A,2-3,0.351,0.264,0.385,0.3265,0.3145,0.359,0.7,1.262,1.334
25357480,2748,200,H,3-1,0.3244,0.2377,0.4379,0.3049,0.2806,0.4145,12.3,1.404,1.666
25357583,2894,499,D,1-1,0.2937,0.2674,0.4389,0.2742,0.3112,0.4147,42.7,1.088,1.393
25357614,2747,423,D,1-1,0.1666,0.2217,0.6118,0.1566,0.2459,0.5975,93.1,0.849,1.857
25357621,2745,477,A,1-2,0.5676,0.2277,0.2048,0.5581,0.246,0.1959,140.9,1.831,1.004
25357624,2858,419,H,2-0,0.4699,0.2711,0.259,0.4598,0.2914,0.2488,184.1,1.397,0.962
25357785,2894,499,A,0-2,0.4055,0.2502,0.3443,0.3954,0.2703,0.3343,137.0,1.487,1.351
25357798,2858,419,A,1-2,0.3349,0.267,0.3981,0.3121,0.3149,0.373,26.3,1.202,1.336
25357808,2748,200,A,0-2,0.2191,0.2431,0.5378,0.2087,0.2656,0.5257,111.4,0.971,1.67
25580346,2894,499,D,2-2,0.4958,0.2437,0.2605,0.4849,0.2646,0.2504,121.7,1.656,1.132
25580350,2748,200,H,3-1,0.2841,0.2406,0.4754,0.2649,0.286,0.4491,7.6,1.243,1.676
25580533,2858,419,D,1-1,0.2885,0.2695,0.4419,0.2695,0.3125,0.418,46.3,1.06,1.38
25580858,2748,200,H,4-0,0.6104,0.2171,0.1725,0.6022,0.2336,0.1643,210.3,1.918,0.908
25580886,2747,423,A,0-2,0.2858,0.2456,0.4686,0.2731,0.2733,0.4536,82.5,1.21,1.617
25580985,2894,499,A,0-1,0.4282,0.2595,0.3123,0.4124,0.2894,0.2982,81.2,1.442,1.193
25581055,2748,200,D,1-1,0.3463,0.2705,0.3831,0.3232,0.3183,0.3586,29.7,1.206,1.283
25581057,2748,200,H,2-0,0.6654,0.1953,0.1393,0.658,0.2101,0.1319,242.3,2.114,0.848
25581058,2748,200,H,3-0,0.3744,0.2566,0.3691,0.3592,0.2869,0.3539,77.2,1.37,1.359
25581069,2745,477,H,4-1,0.3479,0.2475,0.4046,0.3298,0.2852,0.3851,47.2,1.383,1.51
25581156,2858,419,A,0-1,0.323,0.2671,0.4099,0.3075,0.2997,0.3928,74.7,1.171,1.355
25581237,2748,200,H,1-0,0.5093,0.248,0.2427,0.4999,0.2668,0.2333,149.3,1.618,1.036
25581240,2747,423,H,3-1,0.6998,0.1762,0.124,0.6932,0.1894,0.1174,384.3,2.329,0.871
25581243,2745,477,H,3-0,0.317,0.2521,0.4309,0.2955,0.2994,0.405,11.8,1.259,1.51
25581264,2894,499,H,1-0,0.5386,0.2356,0.2258,0.5296,0.2535,0.2169,269.4,1.75,1.047
25581273,2858,419,D,0-0,0.3071,0.2798,0.4131,0.2846,0.3291,0.3863,30.6,1.054,1.27
25581342,2748,200,H,2-1,0.3948,0.2601,0.3451,0.373,0.3021,0.3249,42.1,1.383,1.276
25581343,2894,499,H,3-0,0.8009,0.1301,0.069,0.796,0.1399,0.064,508.2,2.732,0.691
25581347,2858,419,A,0-1,0.2354,0.2488,0.5157,0.2244,0.2728,0.5028,104.7,1.003,1.612
25774953,2894,499,H,1-0,0.5033,0.2523,0.2444,0.4928,0.2729,0.2344,138.0,1.574,1.016
25774988,2894,499,D,0-0,0.1475,0.2074,0.6452,0.1396,0.2231,0.6373,266.8,0.824,1.984
25774991,2747,423,H,2-0,0.7235,0.1685,0.108,0.7171,0.1813,0.1016,366.8,2.366,0.796
25774993,2858,419,A,2-3,0.2674,0.2626,0.47,0.2513,0.2995,0.4492,61.3,1.035,1.464
25835780,2858,419,H,4-0,0.8179,0.1196,0.0625,0.8134,0.1286,0.058,486.9,2.876,0.696
25910116,2745,477,H,1-0,0.383,0.2462,0.3709,0.3712,0.2697,0.3592,100.3,1.48,1.452
25910136,2894,499,A,0-2,0.1744,0.2113,0.6143,0.1665,0.2273,0.6063,190.0,0.957,1.992
25910141,2748,200,H,2-1,0.2336,0.2378,0.5285,0.2233,0.2603,0.5164,107.0,1.066,1.727
25910146,2858,419,H,6-2,0.5021,0.2415,0.2564,0.4905,0.2635,0.246,111.7,1.681,1.132
25968078,2747,423,A,2-4,0.2208,0.2337,0.5455,0.2104,0.2567,0.5329,102.1,1.037,1.77
25968156,2858,419,D,1-1,0.5218,0.2484,0.2298,0.5124,0.2673,0.2203,250.1,1.617,0.983
25968389,2894,499,A,1-2,0.274,0.2603,0.4657,0.2535,0.3092,0.4374,20.5,1.07,1.479
25968447,2745,477,H,3-2,0.1139,0.1532,0.7329,0.1085,0.164,0.7274,175.1,0.984,2.68
25968448,2745,477,A,0-3,0.325,0.2428,0.4322,0.3048,0.2871,0.4081,14.5,1.359,1.602
25968449,2745,477,A,0-2,0.3126,0.2428,0.4446,0.2943,0.2834,0.4223,34.3,1.321,1.62
25968450,2745,477,H,3-0,0.3978,0.2546,0.3476,0.3735,0.3014,0.3251,17.4,1.434,1.323
25968666,2747,423,D,1-1,0.494,0.2544,0.2515,0.4843,0.2738,0.2419,183.2,1.551,1.029
25968667,2747,423,A,0-1,0.5936,0.2232,0.1832,0.5851,0.2402,0.1747,201.4,1.862,0.926
25968668,2747,423,A,0-1,0.575,0.236,0.1889,0.5661,0.254,0.18,342.4,1.73,0.879
25968670,2747,423,H,1-0,0.3266,0.264,0.4094,0.311,0.2966,0.3924,73.5,1.201,1.377
25968674,2747,423,D,1-1,0.1361,0.1945,0.6693,0.1287,0.2093,0.6619,227.7,0.831,2.113
25968676,2747,423,A,0-1,0.5055,0.2521,0.2424,0.4942,0.2738,0.232,123.0,1.578,1.01
25968864,2858,419,H,2-1,0.5814,0.2331,0.1854,0.5726,0.2508,0.1766,275.9,1.757,0.878
25968889,2748,200,D,0-0,0.417,0.2614,0.3216,0.4071,0.2813,0.3116,164.9,1.41,1.205
25968985,2894,499,A,0-1,0.3347,0.265,0.4003,0.3165,0.3031,0.3804,57.0,1.215,1.354
25969020,2745,477,H,2-0,0.6206,0.2064,0.173,0.6128,0.222,0.1652,236.0,2.051,0.983
25969021,2747,423,A,0-2,0.4315,0.2599,0.3086,0.4093,0.3007,0.29,47.1,1.443,1.179
25969022,2858,419,H,4-2,0.3261,0.282,0.3919,0.3005,0.3363,0.3632,0.7,1.089,1.223
25969156,2894,499,H,3-1,0.555,0.2258,0.2191,0.5465,0.2428,0.2106,290.6,1.862,1.086
25969159,2748,200,H,2-1,0.4952,0.2539,0.2509,0.4856,0.2732,0.2412,257.1,1.556,1.03
25969168,2858,419,A,0-2,0.211,0.2385,0.5505,0.202,0.2566,0.5414,175.0,0.964,1.716
26196108,2894,499,A,1-2,0.5697,0.2249,0.2055,0.5612,0.2419,0.197,241.3,1.864,1.027
26196118,2748,200,H,4-3,0.4798,0.2314,0.2887,0.4714,0.2483,0.2803,230.7,1.784,1.338
26196260,2858,419,A,0-1,0.3124,0.2649,0.4227,0.2903,0.3134,0.3962,23.1,1.156,1.39
26196470,2748,200,H,3-0,0.4324,0.2587,0.3089,0.4226,0.2784,0.299,161.4,1.454,1.188
26196473,2748,200,A,1-2,0.175,0.2053,0.6196,0.1673,0.2207,0.612,182.7,1.003,2.071
26196474,2748,200,H,2-0,0.613,0.2166,0.1704,0.6047,0.2331,0.1621,261.8,1.92,0.899
26196476,2748,200,A,0-1,0.3722,0.2465,0.3812,0.3596,0.272,0.3685,90.5,1.453,1.473
26196528,2747,423,H,3-0,0.585,0.2131,0.2019,0.5771,0.2289,0.194,200.7,2.01,1.097
26196552,2894,499,D,1-1,0.5222,0.242,0.2358,0.5115,0.2625,0.2259,126.9,1.681,1.046
26196553,2894,499,A,0-2,0.2059,0.2305,0.5637,0.1966,0.2498,0.5535,129.7,0.991,1.8
26196598,2745,477,D,0-0,0.6554,0.203,0.1416,0.6477,0.2185,0.1338,430.1,2.022,0.814
26196689,2858,419,D,1-1,0.4297,0.262,0.3083,0.4039,0.3089,0.2871,27.6,1.423,1.164
26196759,2748,200,H,3-1,0.5571,0.2371,0.2058,0.5481,0.2551,0.1968,208.6,1.729,0.95
26196770,2745,477,H,4-1,0.7152,0.1659,0.1189,0.709,0.1781,0.1128,381.0,2.472,0.912
26196772,2747,423,H,2-0,0.5013,0.2401,0.2585,0.4922,0.2583,0.2495,239.4,1.696,1.15
26196796,2894,499,A,0-2,0.1883,0.2251,0.5866,0.1797,0.2423,0.578,182.1,0.94,1.845
26196807,2858,419,H,1-0,0.5176,0.248,0.2344,0.5082,0.2668,0.225,211.2,1.621,1.004
26196834,2745,477,A,2-3,0.4998,0.2333,0.2669,0.4911,0.2506,0.2582,189.2,1.772,1.236
26196852,2748,200,A,2-3,0.267,0.2349,0.4981,0.2518,0.2712,0.477,47.4,1.224,1.754
26196853,2894,499,H,1-0,0.5746,0.2377,0.1877,0.5656,0.2557,0.1787,282.4,1.712,0.864
26196857,2858,419,H,2-0,0.7785,0.1471,0.0745,0.7729,0.1582,0.0689,442.7,2.477,0.631
26392396,2894,499,D,2-2,0.5752,0.2365,0.1883,0.5662,0.2545,0.1794,224.7,1.724,0.873
26392405,2858,419,H,1-0,0.3475,0.2769,0.3756,0.3319,0.3084,0.3596,82.0,1.168,1.226
26529928,2745,477,H,4-0,0.4667,0.2356,0.2977,0.4549,0.258,0.2871,99.5,1.723,1.334
26529954,2748,200,H,2-1,0.6903,0.1818,0.1279,0.6834,0.1956,0.121,311.8,2.26,0.859
26529957,2747,423,D,1-1,0.4679,0.2607,0.2714,0.458,0.2805,0.2615,152.2,1.478,1.06
26529959,2858,419,A,2-3,0.2168,0.2378,0.5454,0.2073,0.2573,0.5353,135.0,0.994,1.725
26529985,2747,423,H,4-1,0.44,0.237,0.323,0.4313,0.2543,0.3143,146.3,1.676,1.406
26589482,2858,419,H,2-1,0.3987,0.2764,0.3249,0.3808,0.3108,0.3084,72.6,1.27,1.118
26589856,2745,477,H,2-1,0.5665,0.2259,0.2076,0.5579,0.243,0.199,182.4,1.853,1.03
26589857,2745,477,A,0-2,0.3661,0.252,0.3819,0.3491,0.2865,0.3645,60.6,1.39,1.425
26589859,2745,477,A,0-1,0.2231,0.211,0.5659,0.2156,0.2261,0.5584,163.8,1.229,2.063
26589860,2745,477,H,2-0,0.4566,0.2492,0.2942,0.4376,0.2837,0.2787,61.1,1.569,1.211
26589861,2745,477,H,3-0,0.4264,0.246,0.3276,0.4145,0.2692,0.3163,102.6,1.562,1.34
26590134,2747,423,A,0-2,0.3239,0.2703,0.4058,0.3011,0.3192,0.3797,25.3,1.153,1.324
26590137,2747,423,H,1-0,0.4528,0.2567,0.2906,0.443,0.2762,0.2808,147.1,1.497,1.147
26590139,2747,423,A,0-1,0.2007,0.2149,0.5844,0.1905,0.2396,0.5699,83.2,1.076,1.984
26590143,2747,423,H,4-0,0.469,0.2665,0.2645,0.454,0.2944,0.2517,93.2,1.431,1.004
26590322,2858,419,H,1-0,0.287,0.2626,0.4504,0.2689,0.3037,0.4274,48.4,1.097,1.444
26590361,2748,200,A,1-3,0.1951,0.2298,0.5752,0.1863,0.2473,0.5664,169.8,0.944,1.8
26590538,2894,499,A,0-2,0.1404,0.197,0.6626,0.133,0.212,0.6551,239.7,0.844,2.095
26590567,2745,477,H,2-1,0.316,0.2562,0.4277,0.294,0.3047,0.4013,11.0,1.226,1.469
26590568,2747,423,A,1-4,0.089,0.1513,0.7598,0.0832,0.1627,0.754,248.1,0.747,2.524
26590570,2858,419,D,1-1,0.553,0.2295,0.2175,0.5443,0.2469,0.2088,199.5,1.817,1.051
26590737,2747,423,D,0-0,0.2099,0.2396,0.5505,0.1996,0.2622,0.5382,109.1,0.953,1.704
26590738,2894,499,A,0-1,0.4141,0.2635,0.3224,0.4013,0.2885,0.3102,105.2,1.388,1.193
26590741,2748,200,D,1-1,0.2363,0.2396,0.5241,0.2259,0.2619,0.5121,108.8,1.065,1.707
26590752,2858,419,H,1-0,0.3107,0.262,0.4273,0.2947,0.2963,0.409,67.4,1.171,1.42
26591038,2747,423,H,1-0,0.4819,0.241,0.277,0.4729,0.2591,0.268,148.9,1.675,1.213
26808097,2894,499,H,1-0,0.2501,0.2446,0.5052,0.2402,0.2651,0.4946,128.8,1.086,1.65
26808107,2748,200,A,0-1,0.436,0.2548,0.3092,0.4263,0.2742,0.2995,174.5,1.493,1.216
26808291,2858,419,A,2-3,0.4297,0.254,0.3163,0.4201,0.2733,0.3067,154.4,1.491,1.243
26808468,2747,423,H,2-0,0.4667,0.2504,0.2829,0.4566,0.2704,0.273,143.7,1.568,1.165
26808574,2748,200,H,2-1,0.4709,0.2599,0.2692,0.4565,0.2866,0.2568,95.4,1.487,1.057
26808579,2748,200,D,1-1,0.3865,0.2694,0.3441,0.3676,0.3063,0.3261,62.3,1.297,1.208
26808582,2748,200,A,0-1,0.2898,0.2576,0.4526,0.2684,0.3072,0.4244,8.1,1.138,1.488
26808593,2748,200,H,3-0,0.4978,0.2384,0.2639,0.4873,0.2586,0.2541,122.7,1.714,1.184
26808698,2894,499,H,3-0,0.244,0.2465,0.5095,0.2262,0.2918,0.482,27.7,1.05,1.633
26808773,2745,477,D,1-1,0.422,0.241,0.337,0.4117,0.2614,0.327,117.9,1.606,1.412
26808900,2858,419,H,3-0,0.5708,0.2387,0.1905,0.5617,0.2568,0.1815,169.1,1.704,0.872
26808975,2748,200,A,0-3,0.5268,0.235,0.2382,0.5179,0.2527,0.2294,204.9,1.759,1.105
26808980,2745,477,H,3-0,0.7106,0.1665,0.1228,0.7045,0.1787,0.1167,237.0,2.483,0.941
26809005,2894,499,D,2-2,0.6242,0.2106,0.1653,0.6162,0.2266,0.1573,242.5,1.983,0.909
26809016,2858,419,H,1-0,0.1656,0.2092,0.6252,0.1577,0.225,0.6173,234.4,0.92,2.002
26809095,2748,200,A,0-3,0.4107,0.237,0.3522,0.3895,0.2777,0.3328,23.2,1.628,1.493
26809096,2894,499,H,2-0,0.4353,0.2436,0.3212,0.4262,0.2617,0.3121,173.9,1.599,1.341
26809103,2858,419,A,2-3,0.4669,0.2699,0.2632,0.4568,0.2902,0.253,192.1,1.404,0.981
26975874,2894,499,A,0-3,0.3019,0.2628,0.4353,0.2848,0.3003,0.4149,58.5,1.14,1.424
26975908,2894,499,H,1-0,0.6607,0.1989,0.1404,0.6531,0.2141,0.1328,386.2,2.069,0.832
26975915,2858,419,H,2-1,0.5309,0.2518,0.2173,0.5214,0.2708,0.2078,207.2,1.586,0.915
27000663,2894,499,H,2-1,0.1988,0.2323,0.5689,0.1897,0.251,0.5593,141.3,0.947,1.776
27000705,2894,499,H,4-2,0.5452,0.2397,0.215,0.5361,0.258,0.2059,268.2,1.704,0.974
27094229,2745,477,H,2-1,0.4456,0.2372,0.3172,0.4352,0.2576,0.3073,114.2,1.682,1.386
27094244,2894,499,A,0-1,0.6421,0.2014,0.1565,0.6344,0.2167,0.1489,273.2,2.08,0.918
27094250,2748,200,D,1-1,0.5912,0.2301,0.1786,0.5825,0.2476,0.1699,310.6,1.781,0.862
27094258,2858,419,D,0-0,0.6193,0.2199,0.1608,0.611,0.2366,0.1525,253.3,1.868,0.828
27153553,2747,423,H,2-0,0.621,0.2089,0.1701,0.6131,0.2247,0.1622,297.4,2.013,0.948
27153730,2858,419,H,3-2,0.3024,0.2656,0.432,0.2819,0.3114,0.4067,34.7,1.124,1.398
27154184,2894,499,H,2-1,0.4914,0.2518,0.2568,0.4809,0.2724,0.2467,136.4,1.574,1.064
27154264,2745,477,D,0-0,0.5025,0.252,0.2456,0.4929,0.2711,0.236,232.0,1.578,1.022
27154265,2745,477,H,1-0,0.5738,0.2187,0.2075,0.5656,0.2351,0.1993,220.0,1.942,1.082
27154267,2745,477,D,0-0,0.3916,0.2399,0.3685,0.3697,0.2829,0.3474,13.0,1.559,1.506
27154268,2745,477,A,0-2,0.4467,0.2485,0.3048,0.4373,0.2672,0.2955,197.0,1.565,1.25
27154269,2745,477,H,2-1,0.4046,0.254,0.3414,0.3881,0.2859,0.3259,70.4,1.451,1.312
27154588,2747,423,H,3-2,0.8054,0.1266,0.068,0.8006,0.1361,0.0633,377.7,2.794,0.708
27154589,2747,423,H,1-0,0.4876,0.2555,0.2568,0.4755,0.2785,0.2459,114.4,1.537,1.041
27154593,2747,423,H,4-0,0.5613,0.2345,0.2042,0.5524,0.2524,0.1952,180.3,1.755,0.957
27154595,2747,423,H,1-0,0.5373,0.2453,0.2174,0.528,0.2639,0.208,245.1,1.648,0.951
27154601,2747,423,H,1-0,0.2749,0.2615,0.4635,0.2619,0.2898,0.4483,89.1,1.066,1.467
27154776,2858,419,A,0-2,0.3635,0.2587,0.3778,0.3397,0.307,0.3533,12.9,1.33,1.361
27154818,2748,200,D,1-1,0.4021,0.2523,0.3457,0.3907,0.2747,0.3346,113.4,1.462,1.338
27155024,2894,499,D,0-0,0.4946,0.2375,0.2679,0.4857,0.2553,0.259,194.7,1.722,1.207
27155052,2745,477,A,1-2,0.1348,0.1733,0.6919,0.1285,0.1859,0.6856,256.6,0.983,2.428
27155053,2747,423,H,1-0,0.3557,0.2597,0.3846,0.3363,0.2992,0.3645,49.8,1.303,1.366
27155054,2858,419,A,0-1,0.5682,0.2393,0.1924,0.5592,0.2575,0.1834,224.0,1.699,0.877
27155238,2894,499,H,2-1,0.3763,0.2616,0.3621,0.3624,0.2892,0.3484,90.8,1.335,1.304
27155241,2748,200,H,4-2,0.6634,0.189,0.1476,0.6563,0.2031,0.1406,371.2,2.229,0.95
27155251,2858,419,H,6-1,0.536,0.2422,0.2218,0.5267,0.2606,0.2126,219.6,1.68,0.988
27155754,2894,499,D,0-0,0.421,0.2669,0.3122,0.3973,0.3105,0.2921,41.9,1.373,1.143
27155755,2858,419,D,0-0,0.4086,0.2666,0.3249,0.3874,0.3065,0.306,52.5,1.356,1.179
27155760,2748,200,D,2-2,0.1518,0.1914,0.6568,0.1447,0.2057,0.6496,186.0,0.961,2.207
27155776,2894,499,H,1-0,0.3745,0.2673,0.3582,0.3523,0.3112,0.3366,40.7,1.289,1.254
27155777,2858,419,D,0-0,0.2473,0.2369,0.5158,0.2337,0.2694,0.4969,63.4,1.129,1.736
27155795,2894,499,D,0-0,0.3774,0.2644,0.3582,0.3583,0.3021,0.3396,57.9,1.315,1.275
27155805,2858,419,H,2-1,0.3412,0.2721,0.3868,0.319,0.3181,0.3629,36.6,1.184,1.279
27155809,2748,200,H,5-0,0.5138,0.2434,0.2429,0.5045,0.2619,0.2336,232.6,1.666,1.066
27155810,2748,200,A,0-1,0.4827,0.2546,0.2627,0.473,0.274,0.2531,170.1,1.542,1.068
27155811,2748,200,H,1-0,0.6215,0.2179,0.1606,0.6132,0.2345,0.1523,253.3,1.889,0.838
27155812,2748,200,A,0-1,0.5346,0.2332,0.2323,0.5258,0.2508,0.2235,171.8,1.779,1.092
27155814,2747,423,D,2-2,0.4466,0.2681,0.2853,0.4365,0.2884,0.2751,175.2,1.397,1.059
27155818,2745,477,H,4-1,0.5997,0.2088,0.1914,0.592,0.2243,0.1837,275.3,2.053,1.072
27155821,2858,419,H,1-0,0.6939,0.1872,0.1188,0.6868,0.2015,0.1117,412.9,2.148,0.757
27155824,2748,200,D,0-0,0.6115,0.211,0.1775,0.6036,0.2269,0.1695,229.4,2.001,0.976
27155826,2745,477,D,2-2,0.4075,0.2471,0.3454,0.3935,0.2743,0.3322,83.2,1.52,1.381
27155827,2747,423,H,7-0,0.4923,0.2383,0.2694,0.4833,0.2562,0.2605,150.5,1.711,1.206
27155830,2894,499,H,2-0,0.6457,0.2038,0.1505,0.638,0.2193,0.1428,312.1,2.035,0.865
27155834,2748,200,A,0-1,0.3822,0.2483,0.3695,0.3644,0.2836,0.352,55.3,1.458,1.43
27155839,2894,499,H,3-2,0.5401,0.2417,0.2182,0.5309,0.2601,0.209,207.6,1.685,0.976
27155841,2894,499,H,1-0,0.4242,0.2663,0.3095,0.4103,0.2932,0.2966,96.9,1.382,1.14
27155842,2747,423,H,3-2,0.4274,0.2642,0.3084,0.4174,0.2843,0.2983,164.6,1.403,1.15
27155843,2858,419,D,0-0,0.3587,0.2747,0.3666,0.3455,0.3011,0.3534,102.8,1.206,1.222
27613918,2858,419,H,3-0,0.4375,0.2654,0.2971,0.4246,0.2902,0.2851,107.0,1.407,1.11
27613922,2747,423,A,1-3,0.3229,0.264,0.4131,0.3014,0.3104,0.3882,30.3,1.191,1.383
27613924,2747,423,H,1-0,0.3024,0.2658,0.4318,0.2862,0.3009,0.4129,66.9,1.123,1.396
27613927,2748,200,A,0-4,0.2426,0.254,0.5034,0.2299,0.283,0.4871,84.2,0.999,1.559
27613928,2748,200,A,1-2,0.1425,0.1878,0.6696,0.1355,0.2019,0.6626,261.0,0.923,2.228
27613929,2748,200,D,0-0,0.2403,0.2484,0.5113,0.2281,0.2759,0.496,87.7,1.024,1.615
27613930,2748,200,D,3-3,0.5139,0.2407,0.2453,0.5042,0.2599,0.2359,144.6,1.693,1.094
27613931,2747,423,D,0-0,0.646,0.1994,0.1547,0.6384,0.2144,0.1471,350.2,2.103,0.92
27613932,2748,200,D,2-2,0.6592,0.1924,0.1484,0.6519,0.2069,0.1412,314.2,2.182,0.93
27613933,2748,200,D,2-2,0.2995,0.2637,0.4368,0.2772,0.314,0.4088,12.6,1.128,1.419
27613934,2748,200,H,2-0,0.5276,0.2366,0.2358,0.5187,0.2545,0.2268,170.1,1.741,1.083
27613935,2748,200,A,0-2,0.2573,0.2416,0.5011,0.2463,0.2656,0.4881,98.8,1.135,1.68
27613936,2748,200,A,0-1,0.3274,0.2601,0.4125,0.3092,0.2987,0.3921,53.0,1.23,1.414
27613946,2748,200,A,0-1,0.4932,0.2387,0.2681,0.4842,0.2566,0.2591,213.9,1.707,1.198
27613947,2858,419,A,0-1,0.3108,0.2523,0.4369,0.2975,0.2805,0.422,83.6,1.24,1.517
27613948,2894,499,D,1-1,0.689,0.1859,0.1251,0.6819,0.2,0.1181,376.8,2.191,0.811
27613949,2858,419,A,0-1,0.2451,0.2524,0.5025,0.2352,0.2727,0.4921,140.9,1.018,1.574
27613950,2894,499,H,4-2,0.7211,0.1761,0.1028,0.7144,0.1895,0.0961,422.7,2.227,0.704
27613951,2745,477,D,1-1,0.4423,0.2547,0.303,0.4202,0.2948,0.285,46.1,1.503,1.199
27613952,2858,419,D,1-1,0.4203,0.2595,0.3201,0.4034,0.2916,0.3049,73.4,1.43,1.214
27613953,2745,477,D,2-2,0.18,0.2074,0.6126,0.1723,0.2229,0.6048,246.2,1.018,2.053
27613954,2745,477,A,0-2,0.5516,0.2334,0.2149,0.5428,0.2512,0.2061,195.3,1.771,1.013
27613955,2894,499,H,2-1,0.1654,0.2119,0.6227,0.1573,0.228,0.6147,229.0,0.901,1.967
27613956,2858,419,D,2-2,0.3792,0.2836,0.3372,0.3659,0.3099,0.3242,106.8,1.191,1.106
27613957,2747,423,H,1-0,0.1106,0.1686,0.7208,0.1042,0.1814,0.7144,167.2,0.817,2.378
27613958,2858,419,H,3-1,0.7663,0.1486,0.0851,0.7606,0.1599,0.0795,405.6,2.54,0.728
27613959,2894,499,A,0-1,0.3302,0.2609,0.409,0.3095,0.3049,0.3856,36.2,1.232,1.401
27613960,2745,477,H,5-3,0.8612,0.0924,0.0465,0.8578,0.0991,0.0431,447.7,3.314,0.712
27613961,2745,477,H,3-0,0.6796,0.1834,0.137,0.6727,0.1971,0.1301,260.9,2.274,0.916
27613962,2745,477,D,1-1,0.5349,0.2329,0.2322,0.5261,0.2505,0.2234,270.8,1.782,1.094
27613963,2745,477,D,1-1,0.3119,0.2451,0.443,0.2936,0.2857,0.4207,36.6,1.3,1.594
27613964,2747,423,D,2-2,0.2173,0.2302,0.5525,0.2037,0.2654,0.531,54.3,1.046,1.809
27613965,2747,423,H,3-1,0.6194,0.213,0.1676,0.6113,0.2292,0.1595,259.8,1.958,0.906
27613966,2858,419,D,1-1,0.3691,0.2678,0.3631,0.3499,0.3061,0.344,57.7,1.274,1.261
27613967,2894,499,H,2-0,0.6027,0.2128,0.1845,0.5947,0.2288,0.1765,293.2,1.989,1.003
27613968,2894,499,A,3-4,0.5261,0.2486,0.2253,0.5167,0.2675,0.2158,210.1,1.616,0.964
27613969,2747,423,A,0-1,0.1221,0.1889,0.689,0.1149,0.2033,0.6818,227.9,0.77,2.139
27613970,2894,499,D,0-0,0.3401,0.2658,0.3941,0.322,0.3033,0.3747,59.1,1.223,1.337
27613971,2858,419,H,1-0,0.3912,0.2754,0.3333,0.3732,0.3103,0.3165,71.0,1.264,1.144
27613972,2894,499,A,0-2,0.3527,0.2742,0.3732,0.3371,0.3057,0.3573,81.2,1.197,1.239
27613973,2858,419,D,1-1,0.2798,0.2745,0.4458,0.2597,0.3207,0.4196,39.0,1.008,1.349
27613974,2747,423,A,0-3,0.1778,0.2199,0.6023,0.1692,0.2381,0.5928,134.3,0.919,1.893
27613975,2747,423,D,1-1,0.4103,0.2648,0.3249,0.3925,0.2988,0.3087,69.6,1.372,1.191
27613976,2894,499,A,0-2,0.2311,0.2392,0.5297,0.2136,0.2854,0.501,17.5,1.046,1.712
27613977,2894,499,D,1-1,0.3704,0.2691,0.3605,0.3456,0.3181,0.3362,23.0,1.268,1.247
27613978,2745,477,H,2-1,0.5727,0.2197,0.2077,0.5644,0.2361,0.1995,285.3,1.93,1.076
27613979,2858,419,H,2-1,0.5207,0.2389,0.2404,0.5116,0.257,0.2314,188.8,1.714,1.086
27613980,2745,477,A,2-3,0.2505,0.23,0.5195,0.2357,0.2664,0.4979,45.6,1.195,1.817
27613981,2747,423,H,2-1,0.599,0.2316,0.1694,0.5903,0.2491,0.1606,243.7,1.757,0.81
28354617,2747,423,D,2-2,0.5643,0.2426,0.1931,0.5551,0.2609,0.184,284.6,1.668,0.863
28354635,2894,499,H,3-1,0.362,0.2607,0.3772,0.3422,0.3009,0.3569,48.1,1.311,1.344
28354636,2748,200,H,2-1,0.4729,0.2588,0.2683,0.4612,0.2815,0.2574,118.8,1.498,1.061
28354637,2858,419,H,3-0,0.6149,0.22,0.1652,0.6065,0.2367,0.1568,322.0,1.874,0.851
28354643,2858,419,D,1-1,0.4601,0.2566,0.2833,0.4463,0.2827,0.271,96.0,1.505,1.124
